,duration,batch_size,hidden_size,num_layers,dropout,stride,snrValMetric,c50ValMetric,vadValMetric,ValidationMetric,name,only_vad
0,6,128,128,3,0.3,10,29.751544952392578,15.129446983337402,82.59255057876909,0.23446120283691174,dur_6_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.3_only_vad,True
1,2,128,128,3,0.5,10,22.801719665527344,15.260586738586426,79.42775117692588,0.22124965731764681,dur_2_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.5_only_vad,True
2,10,64,256,2,0.5,10,22.383506774902344,7.622243404388428,82.1118226938031,0.17446227511389267,dur_10_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.5,False
3,8,32,256,3,0.3,10,22.599872589111328,7.886025905609131,81.60969090829533,0.17815133317639206,dur_8_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.3,False
4,10,64,256,2,0.3,10,22.660259246826172,7.4758381843566895,81.48806430570113,0.17681536333145828,dur_10_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.3,False
5,8,128,256,2,0.3,10,36.88833236694336,23.76219367980957,81.78604433914332,0.3032992339205471,dur_8_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.3_only_vad,True
6,4,64,256,3,0.0,10,30.0123233795166,19.97411346435547,79.82973781223104,0.26765543113616874,dur_4_bs_64_lstm_hs_256_lstm_nl_3_dropout_0_only_vad,True
7,8,128,256,3,0.5,10,26.35846519470215,18.4763126373291,82.96885139316073,0.23723877927469803,dur_8_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.5_only_vad,True
8,6,128,256,2,0.5,10,22.74897003173828,7.15425968170166,81.87034778730913,0.17432102476828473,dur_6_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.5,False
9,6,128,256,2,0.0,10,28.40567970275879,19.176408767700195,82.23407807793932,0.25020502355597335,dur_6_bs_128_lstm_hs_256_lstm_nl_2_dropout_0_only_vad,True
10,2,32,128,2,0.5,10,23.210508346557617,8.686180114746094,79.98811904763485,0.18950941245574912,dur_2_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.5,False
11,6,64,128,2,0.5,10,23.845186233520508,6.558856010437012,81.73985978381675,0.17576710184030764,dur_6_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.5,False
12,4,32,256,2,0.5,10,23.662376403808594,15.738188743591309,81.22143104150604,0.22056486790213659,dur_4_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.5_only_vad,True
13,2,128,256,2,0.5,10,23.355575561523438,8.154353141784668,80.52757602032129,0.1856877209235498,dur_2_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.5,False
14,6,32,128,3,0.5,10,33.36429214477539,17.5793399810791,82.98736442242692,0.2574876197616742,dur_6_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.5_only_vad,True
15,10,64,128,3,0.5,10,22.671403884887695,6.620589733123779,81.97962055421313,0.17114333482374558,dur_10_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.5,False
16,6,64,128,2,0.0,10,24.706544876098633,7.106245040893555,82.24916764834155,0.17969833441589364,dur_6_bs_64_lstm_hs_128_lstm_nl_2_dropout_0,False
17,10,128,256,3,0.3,10,29.671916961669922,19.693525314331055,83.27621026233462,0.25363664710441564,dur_10_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.3_only_vad,True
18,2,64,128,3,0.5,10,21.965694427490234,9.262831687927246,80.19020844720315,0.18721397285906746,dur_2_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.5,False
19,6,32,128,2,0.5,10,26.363590240478516,18.164302825927734,80.2513667118821,0.24482928315571284,dur_6_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.5_only_vad,True
20,10,128,128,3,0.5,10,29.296192169189453,14.933857917785645,83.61267095905228,0.22853169600280307,dur_10_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.5_only_vad,True
21,8,64,128,3,0.5,10,31.61880111694336,15.491989135742188,80.4199114855192,0.24998150036563993,dur_8_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.5_only_vad,True
22,6,64,128,3,0.3,10,24.166027069091797,21.05229377746582,80.84413071881794,0.2488949930272825,dur_6_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.3_only_vad,True
23,6,32,256,2,0.0,10,30.86760902404785,15.629905700683594,81.00494575517479,0.24605236995133675,dur_6_bs_32_lstm_hs_256_lstm_nl_2_dropout_0_only_vad,True
24,8,32,128,2,0.0,10,26.186193466186523,23.13159942626953,81.08650618534772,0.26507683342371124,dur_8_bs_32_lstm_hs_128_lstm_nl_2_dropout_0_only_vad,True
25,10,32,128,2,0.0,10,34.33291244506836,16.248554229736328,82.05253218117286,0.2576653199464532,dur_10_bs_32_lstm_hs_128_lstm_nl_2_dropout_0_only_vad,True
26,2,128,128,2,0.3,10,22.99242401123047,8.070351600646973,80.85751953506073,0.18291368590306048,dur_2_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.3,False
27,4,128,256,2,0.3,10,28.81053924560547,17.6872615814209,80.51746786022298,0.2502564403369694,dur_4_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.3_only_vad,True
28,2,32,256,2,0.5,10,23.499067306518555,16.26331901550293,81.39038271541578,0.22192930162175073,dur_2_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.5_only_vad,True
29,10,128,256,3,0.5,10,24.414899826049805,21.10319709777832,82.47212530454591,0.24458397891529446,dur_10_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.5_only_vad,True
30,4,32,128,3,0.5,10,27.815296173095703,15.383284568786621,79.6821232727174,0.23857752223136444,dur_4_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.5_only_vad,True
31,6,32,256,3,0.5,10,23.68770980834961,6.856869220733643,80.24944835910026,0.18160170158766922,dur_6_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.5,False
32,2,32,256,3,0.3,10,24.51604652404785,17.243732452392578,79.97145124987756,0.23489605671898683,dur_2_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.3_only_vad,True
33,4,128,256,3,0.3,10,23.222139358520508,7.921798229217529,80.81428805006344,0.18315641260866578,dur_4_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.3,False
34,10,32,256,3,0.3,10,23.258777618408203,6.740467071533203,81.0527526378069,0.17686469948220904,dur_10_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.3,False
35,10,64,256,2,0.3,10,23.455486297607422,16.13817024230957,82.2912858442302,0.21817742883261257,dur_10_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.3_only_vad,True
36,10,64,128,3,0.0,10,23.675952911376953,18.463428497314453,82.38296624836065,0.22971805290853517,dur_10_bs_64_lstm_hs_128_lstm_nl_3_dropout_0_only_vad,True
37,2,32,256,2,0.0,10,25.531757354736328,16.5079345703125,79.9614108486972,0.23498962293598327,dur_2_bs_32_lstm_hs_256_lstm_nl_2_dropout_0_only_vad,True
38,6,64,256,2,0.3,10,36.38525390625,16.499244689941406,81.37675158155065,0.26831288415081783,dur_6_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.3_only_vad,True
39,2,128,128,3,0.3,10,22.44560432434082,8.4507417678833,81.4573817716848,0.18080686129502418,dur_2_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.3,False
40,8,32,256,3,0.3,10,24.044836044311523,16.46479034423828,80.00964908512667,0.22940611236308373,dur_8_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.3_only_vad,True
41,4,64,128,3,0.0,10,23.813396453857422,7.049144744873047,79.90635481784459,0.18410195023289697,dur_4_bs_64_lstm_hs_128_lstm_nl_3_dropout_0,False
42,4,128,256,3,0.5,10,23.547298431396484,19.445777893066406,80.47868165810125,0.2402921032468837,dur_4_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.5_only_vad,True
43,2,64,256,3,0.0,10,25.810888290405273,15.319024085998535,79.59544994928397,0.23152742089578174,dur_2_bs_64_lstm_hs_256_lstm_nl_3_dropout_0_only_vad,True
44,6,32,128,2,0.3,10,23.331283569335938,6.668401718139648,80.66820784258205,0.17805775396215917,dur_6_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.3,False
45,4,128,256,2,0.3,10,23.42339324951172,7.866301536560059,79.31618480958346,0.18859197411537476,dur_4_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.3,False
46,6,128,128,3,0.3,10,23.025400161743164,7.880138397216797,81.87258420951602,0.1787400656202908,dur_6_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.3,False
47,2,32,256,3,0.3,10,23.57752227783203,7.622173309326172,80.22683705024913,0.18493475488685018,dur_2_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.3,False
48,6,64,256,2,0.0,10,23.57599449157715,6.5651116371154785,81.13003739079085,0.17688509942099148,dur_6_bs_64_lstm_hs_256_lstm_nl_2_dropout_0,False
49,2,128,128,2,0.0,10,23.708803176879883,7.761967658996582,80.72313703274604,0.18440674372474464,dur_2_bs_128_lstm_hs_128_lstm_nl_2_dropout_0,False
50,6,64,256,3,0.0,10,23.0902042388916,16.375516891479492,81.32816323438232,0.2212363682369193,dur_6_bs_64_lstm_hs_256_lstm_nl_3_dropout_0_only_vad,True
51,10,64,128,2,0.5,10,23.632596969604492,7.286481857299805,80.2975694177335,0.18329369413716887,dur_10_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.5,False
52,10,128,256,3,0.3,10,22.846046447753906,6.3146586418151855,83.47180821778586,0.16532534214699032,dur_10_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.3,False
53,4,64,256,2,0.3,10,23.22661018371582,8.042512893676758,81.50860086758561,0.18143255539172712,dur_4_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.3,False
54,6,32,256,2,0.5,10,32.98731994628906,19.525550842285156,80.38960337645474,0.27409178454752303,dur_6_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.5_only_vad,True
55,2,32,128,3,0.3,10,23.66320037841797,8.839130401611328,80.50959005751449,0.19008790354975538,dur_2_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.3,False
56,2,64,256,2,0.3,10,23.457897186279297,17.90599250793457,80.92619646203524,0.2311543872966412,dur_2_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.3_only_vad,True
57,2,128,256,2,0.0,10,26.42133331298828,20.041519165039062,78.9533310889467,0.2582978012618013,dur_2_bs_128_lstm_hs_256_lstm_nl_2_dropout_0_only_vad,True
58,6,32,256,2,0.3,10,23.653488159179688,7.964432239532471,80.38209590052065,0.18631357676759597,dur_6_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.3,False
59,8,64,256,3,0.5,10,22.778594970703125,6.12861967086792,81.08495293139775,0.17215895472399603,dur_8_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.5,False
60,2,128,256,3,0.5,10,23.173009872436523,8.111383438110352,81.11600471619413,0.18288109293554541,dur_2_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.5,False
61,4,128,128,2,0.3,10,22.951274871826172,7.500476837158203,80.29910599616396,0.18191699207082498,dur_4_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.3,False
62,6,128,128,2,0.0,10,23.785139083862305,7.747530460357666,82.27645247526777,0.17942812230571592,dur_6_bs_128_lstm_hs_128_lstm_nl_2_dropout_0,False
63,6,64,256,2,0.0,10,26.306074142456055,16.57791519165039,80.84009106915683,0.23511083093131738,dur_6_bs_64_lstm_hs_256_lstm_nl_2_dropout_0_only_vad,True
64,6,128,128,2,0.0,10,25.01324462890625,23.065282821655273,82.02404699404416,0.25752029408404775,dur_6_bs_128_lstm_hs_128_lstm_nl_2_dropout_0_only_vad,True
65,10,32,256,2,0.0,10,27.97700309753418,19.5146541595459,81.93610739656975,0.2513048230632764,dur_10_bs_32_lstm_hs_256_lstm_nl_2_dropout_0_only_vad,True
66,4,128,128,3,0.3,10,23.284868240356445,6.965141296386719,80.30421399983715,0.18052125157857238,dur_4_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.3,False
67,8,128,128,2,0.3,10,23.528461456298828,6.92385721206665,80.03497483586042,0.1820768376191745,dur_8_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.3,False
68,8,128,128,2,0.5,10,22.750732421875,7.964114665985107,81.74870561232522,0.17858913481605052,dur_8_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.5,False
69,6,32,256,3,0.5,10,33.42695617675781,18.42165184020996,79.12534470762272,0.27459190146045526,dur_6_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.5_only_vad,True
70,8,32,256,3,0.5,10,22.879735946655273,6.84316873550415,81.1753549662491,0.17561510981870668,dur_8_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.5,False
71,8,128,128,3,0.0,10,30.302709579467773,21.33418083190918,81.0422401832748,0.27110916678728536,dur_8_bs_128_lstm_hs_128_lstm_nl_3_dropout_0_only_vad,True
72,6,64,128,2,0.3,10,22.870771408081055,7.132192134857178,81.61776097399837,0.17548527050657714,dur_6_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.3,False
73,6,32,128,3,0.0,10,23.226810455322266,7.650846004486084,82.336768609573,0.17680761853444274,dur_6_bs_32_lstm_hs_128_lstm_nl_3_dropout_0,False
74,2,64,256,2,0.3,10,24.073949813842773,8.300949096679688,80.50370659788855,0.18898597305232964,dur_2_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.3,False
75,2,64,256,3,0.0,10,22.698036193847656,8.0165433883667,79.77702682341271,0.18522615898281838,dur_2_bs_64_lstm_hs_256_lstm_nl_3_dropout_0,False
76,8,32,128,3,0.0,10,23.19140625,8.241952896118164,81.89805385789366,0.1809605704802655,dur_8_bs_32_lstm_hs_128_lstm_nl_3_dropout_0,False
77,6,64,256,3,0.3,10,24.03489112854004,7.449872016906738,81.76591930633623,0.18058880133997912,dur_6_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.3,False
78,8,32,256,2,0.3,10,28.509143829345703,21.321935653686523,82.13152090427786,0.26112670751979655,dur_8_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.3_only_vad,True
79,2,64,256,3,0.5,10,28.675552368164062,16.189414978027344,81.08561763514572,0.24075636671412992,dur_2_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.5_only_vad,True
80,10,32,256,2,0.5,10,22.595844268798828,8.61525821685791,82.03393400897654,0.18019558986568818,dur_10_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.5,False
81,10,128,256,2,0.5,10,40.78486633300781,16.077075958251953,81.68084752625371,0.2807261402931634,dur_10_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.5_only_vad,True
82,2,32,256,3,0.0,10,22.91018295288086,19.16391372680664,81.19976411893597,0.23431079182150624,dur_2_bs_32_lstm_hs_256_lstm_nl_3_dropout_0_only_vad,True
83,4,64,128,2,0.0,10,23.17972183227539,8.480545043945312,80.7087360381498,0.18602011834070784,dur_4_bs_64_lstm_hs_128_lstm_nl_2_dropout_0,False
84,4,32,256,3,0.3,10,28.858295440673828,21.021930694580078,81.50875941529037,0.262999077479472,dur_4_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.3_only_vad,True
85,6,64,128,3,0.3,10,23.22928237915039,7.30551290512085,82.25041303092887,0.1754597005498866,dur_6_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.3,False
86,10,32,128,3,0.5,10,27.146116256713867,16.7271785736084,82.32055889453221,0.23383423237976822,dur_10_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.5_only_vad,True
87,8,64,128,2,0.5,10,23.206480026245117,6.720769882202148,82.30094394716835,0.17242676532128656,dur_8_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.5,False
88,10,32,128,2,0.3,10,26.788822174072266,23.626131057739258,82.068610992946,0.26627254995686106,dur_10_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.3_only_vad,True
89,2,64,256,2,0.5,10,28.879547119140625,18.0159969329834,79.6368351132436,0.2549994221525096,dur_2_bs_64_lstm_hs_256_lstm_nl_2_dropout_0.5_only_vad,True
90,4,32,128,2,0.0,10,23.55706024169922,7.385829448699951,81.68238723841358,0.17888567735292923,dur_4_bs_32_lstm_hs_128_lstm_nl_2_dropout_0,False
91,2,128,256,2,0.0,10,23.196338653564453,7.860950469970703,80.46146583565532,0.18395220663286463,dur_2_bs_128_lstm_hs_256_lstm_nl_2_dropout_0,False
92,6,128,128,3,0.0,10,23.02901268005371,16.890897750854492,80.83374196496904,0.22512392647942334,dur_6_bs_128_lstm_hs_128_lstm_nl_3_dropout_0_only_vad,True
93,6,64,256,3,0.5,10,23.33535385131836,19.1259822845459,81.6717052032898,0.23404885667194855,dur_6_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.5_only_vad,True
94,8,32,256,2,0.0,10,22.741296768188477,8.383200645446777,83.64699909487965,0.17422402983865368,dur_8_bs_32_lstm_hs_256_lstm_nl_2_dropout_0,False
95,8,128,256,2,0.5,10,22.821630477905273,7.093494415283203,81.04203479606387,0.1770476585948384,dur_8_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.5,False
96,8,64,128,3,0.5,10,23.066577911376953,6.9899582862854,80.99369175058276,0.17757523757291963,dur_8_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.5,False
97,10,64,256,3,0.0,10,29.936235427856445,23.724027633666992,82.51367445945232,0.2762987345160269,dur_10_bs_64_lstm_hs_256_lstm_nl_3_dropout_0_only_vad,True
98,10,128,256,3,0.5,10,21.846616744995117,6.500919818878174,82.0442012021236,0.16746421929833913,dur_10_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.5,False
99,10,32,128,3,0.0,10,23.367815017700195,6.906420707702637,81.57811307492248,0.1762863408014245,dur_10_bs_32_lstm_hs_128_lstm_nl_3_dropout_0,False
100,8,128,128,2,0.5,10,24.874834060668945,16.95675277709961,80.10110476417948,0.23435621209289992,dur_8_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.5_only_vad,True
101,4,32,128,2,0.0,10,33.570152282714844,21.72669792175293,79.61716003414675,0.28919327418976487,dur_4_bs_32_lstm_hs_128_lstm_nl_2_dropout_0_only_vad,True
102,2,128,256,3,0.3,10,23.436981201171875,16.579700469970703,78.69048854610735,0.23221768122371475,dur_2_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.3_only_vad,True
103,8,64,128,2,0.3,10,34.935665130615234,21.031728744506836,81.35840262460273,0.28487102833760075,dur_8_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.3_only_vad,True
104,8,128,256,2,0.5,10,25.68272590637207,25.61396598815918,81.77410095789915,0.27283909115894106,dur_8_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.5_only_vad,True
105,4,128,128,2,0.5,10,26.847938537597656,19.78278160095215,81.05569379829,0.251554702362707,dur_4_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.5_only_vad,True
106,4,64,128,3,0.5,10,24.357820510864258,16.428388595581055,79.92706351049016,0.23060624706231092,dur_4_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.5_only_vad,True
107,6,32,128,2,0.0,10,31.903762817382812,18.143714904785156,81.02275979106152,0.26159913719628053,dur_6_bs_32_lstm_hs_128_lstm_nl_2_dropout_0_only_vad,True
108,2,32,128,2,0.5,10,27.098159790039062,16.290786743164062,79.41643591884213,0.24126831765916387,dur_2_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.5_only_vad,True
109,6,128,256,3,0.0,10,25.05143928527832,16.108684539794922,82.01127426344321,0.22457022770581583,dur_6_bs_128_lstm_hs_256_lstm_nl_3_dropout_0_only_vad,True
