,duration,batch_size,hidden_size,num_layers,dropout,stride,c50ValMetric,snrValMetric,vadOptiTh,vadValMetric,ValidationMetric,TrainLoss,vadLoss,snrLoss,c50Loss,best_epoch,name
0,6,128,256,2,0.5,10,4.1152801513671875,4.42527961730957,0.5,0.9803937077522278,0.06277559697628021,0.37509071826934814,0.08760412037372589,0.22181111574172974,0.06567545980215073,16.0,dur_6_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.5
1,2,32,128,2,0.5,10,6.478751182556152,4.785205841064453,0.32000261545181274,0.9683015942573547,0.0794273093342781,0.5200752019882202,0.17757797241210938,0.16549508273601532,0.17700044810771942,3.0,dur_2_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.5
2,6,64,128,2,0.5,10,4.462360382080078,4.466281414031982,0.4200001657009125,0.9803669452667236,0.06465336680412292,0.4252551794052124,0.09043727070093155,0.2633092999458313,0.0715087279677391,11.0,dur_6_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.5
3,2,128,256,2,0.5,10,6.568471908569336,4.694458961486816,0.3600004017353058,0.9690301418304443,0.07998494803905487,0.6334302425384521,0.17920207977294922,0.24034985899925232,0.21387840807437897,2.0,dur_2_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.5
4,6,64,128,2,0.0,10,4.2827677726745605,4.4392218589782715,0.3799998164176941,0.9806916117668152,0.06345304101705551,0.39206206798553467,0.0871986672282219,0.24139101803302765,0.0634721964597702,14.0,dur_6_bs_64_lstm_hs_128_lstm_nl_2_dropout_0
5,2,64,128,3,0.5,10,6.467345237731934,4.836112976074219,0.339998722076416,0.9686271548271179,0.08033253252506256,0.5885941982269287,0.17814499139785767,0.2120068073272705,0.19844187796115875,3.0,dur_2_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.5
6,2,128,128,2,0.3,10,6.406163692474365,4.655704498291016,0.45999959111213684,0.9691358208656311,0.07887444645166397,0.6136548519134521,0.17567123472690582,0.23002155125141144,0.20796169340610504,4.0,dur_2_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.3
7,6,32,256,3,0.5,10,4.35832405090332,4.476770401000977,0.439999520778656,0.9812654256820679,0.06371036916971207,0.36652877926826477,0.08813078701496124,0.2167128026485443,0.06168516352772713,11.0,dur_6_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.5
8,4,128,256,3,0.3,10,4.968986988067627,4.298369407653809,0.4599996507167816,0.9791584014892578,0.06613042950630188,0.4554955065250397,0.10913937538862228,0.2532549202442169,0.09310118108987808,10.0,dur_4_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.3
9,2,128,128,3,0.3,10,6.500158309936523,4.823979377746582,0.31999993324279785,0.9683630466461182,0.08095531165599823,0.6435033082962036,0.18178284168243408,0.2356179654598236,0.2261016070842743,2.0,dur_2_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.3
